Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
G360170,027XX N HOYNE AV,GAME/DICE,CHA HALLWAY/STAIRWELL/ELEVATOR,True,2001,41.931546963,-87.67898916200001
HV362360,105XX S LAFAYETTE AVE,GAME/DICE,SIDEWALK,True,2012,41.702749638,-87.624586354
HX330175,021XX E 71ST ST,GAME/DICE,GROCERY FOOD STORE,True,2014,41.766266836999996,-87.573507904
HP497478,005XX E 40TH ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2008,41.821434535,-87.61259572
HJ481453,013XX E 53RD ST,GAME/DICE,STREET,True,2003,41.799490166999995,-87.593422373
HT450208,012XX S LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2011,41.865474657,-87.717833381
HN752703,019XX S TRUMBULL AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.854615733,-87.711231254
HS507623,009XX W 86TH PL,GAME/DICE,SIDEWALK,True,2010,41.736940529,-87.646637412
HL721492,014XX S TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2005,41.861991752,-87.71163699899999
HR409650,016XX W HOWARD ST,GAME/DICE,PARK PROPERTY,True,2009,42.019371503,-87.671181992
HN451086,079XX S PULASKI RD,GAME/DICE,PARK PROPERTY,True,2007,41.748622755,-87.72188252299999
HW289304,064XX S VERNON AVE,GAME/DICE,SIDEWALK,True,2013,41.777638573000004,-87.61434749700001
HS497915,055XX S HOYNE AVE,GAME/DICE,SIDEWALK,True,2010,41.792743224,-87.676699066
HP255645,020XX S MICHIGAN AVE,GAME/DICE,RESIDENCE,True,2008,41.855190551,-87.623871195
HN656497,005XX E BROWNING AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2007,41.829864596,-87.613418466
G449436,057XX S PEORIA ST,GAME/DICE,SIDEWALK,True,2001,41.790029411999996,-87.647625891
HV460694,050XX W CONCORD PL,GAME/DICE,SIDEWALK,True,2012,41.910467863,-87.75178108899999
HL534727,080XX S CHAPPEL AVE,GAME/DICE,"SCHOOL, PUBLIC, GROUNDS",True,2005,41.749125746,-87.574721505
HR376651,048XX W WALTON ST,GAME/DICE,SIDEWALK,True,2009,41.89773327,-87.747202411
HW250750,061XX S EVANS AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2013,41.783260882,-87.607248571
HN334290,016XX S ST LOUIS AVE,GAME/DICE,SIDEWALK,True,2007,41.858542789,-87.71275698
HM401791,031XX W OHIO ST,GAME/DICE,SIDEWALK,True,2006,41.891904316,-87.705628515
HR555603,106XX S MAY ST,GAME/DICE,SIDEWALK,True,2009,41.700696078,-87.650747275
HK754764,001XX W 57TH ST,ILLEGAL ILL LOTTERY,STREET,True,2004,41.790951671,-87.628162654
HK215515,078XX S EUCLID AVE,GAME/DICE,ALLEY,True,2004,41.752860845,-87.57723557
HL637557,043XX W HIRSCH ST,GAME/DICE,SIDEWALK,True,2005,41.906161956,-87.734128161
HH785025,009XX S MAY ST,WIREROOM/SPORTS,STREET,True,2002,41.870276598000004,-87.65536764
HN152385,070XX W BELMONT AVE,GAME/CARDS,OTHER,True,2007,41.938055284,-87.80271075799999
HK722093,0000X N LATROBE AVE,GAME/DICE,SIDEWALK,True,2004,41.881099854,-87.756307159
HK458919,065XX S MINERVA AVE,GAME/DICE,SIDEWALK,True,2004,41.776155835,-87.597316465
HS432814,039XX W MADISON ST,GAME/DICE,SIDEWALK,True,2010,41.880742749,-87.72435179799999
HW374574,063XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2013,41.778785639,-87.66667114299999
HT520092,050XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2011,41.898629211999996,-87.75123836600001
HS523091,079XX S MARYLAND AVE,GAME/DICE,SIDEWALK,True,2010,41.750582871999995,-87.603948589
