kind,alcohol,malic acid,ash,alkalinity,magnesium,phenols,flavonoids,nf phenols,pas,color,fue,od2380/315,proline
1,14.230,1.710,2.430,15.600,127,2.800,3.060,0.280,2.290,5.640,1.040,3.920,1065
1,13.200,1.780,2.140,11.200,100,2.650,2.760,0.260,1.280,4.380,1.050,3.400,1050
1,13.160,2.360,2.670,18.600,101,2.800,3.240,0.300,2.810,5.680,1.030,3.170,1185
1,14.370,1.950,2.500,16.800,113,3.850,3.490,0.240,2.180,7.800,0.860,3.450,1480
1,13.240,2.590,2.870,21.000,118,2.800,2.690,0.390,1.820,4.320,1.040,2.930,735
1,14.200,1.760,2.450,15.200,112,3.270,3.390,0.340,1.970,6.750,1.050,2.850,1450
1,14.390,1.870,2.450,14.600,96,2.500,2.520,0.300,1.980,5.250,1.020,3.580,1290
1,14.060,2.150,2.610,17.600,121,2.600,2.510,0.310,1.250,5.050,1.060,3.580,1295
1,14.830,1.640,2.170,14.000,97,2.800,2.980,0.290,1.980,5.200,1.080,2.850,1045
1,13.860,1.350,2.270,16.000,98,2.980,3.150,0.220,1.850,7.220,1.010,3.550,1045
1,14.100,2.160,2.300,18.000,105,2.950,3.320,0.220,2.380,5.750,1.250,3.170,1510
1,14.120,1.480,2.320,16.800,95,2.200,2.430,0.260,1.570,5.000,1.170,2.820,1280
1,13.750,1.730,2.410,16.000,89,2.600,2.760,0.290,1.810,5.600,1.150,2.900,1320
1,14.750,1.730,2.390,11.400,91,3.100,3.690,0.430,2.810,5.400,1.250,2.730,1150
1,14.380,1.870,2.380,12.000,102,3.300,3.640,0.290,2.960,7.500,1.200,3.000,1547
1,13.630,1.810,2.700,17.200,112,2.850,2.910,0.300,1.460,7.300,1.280,2.880,1310
1,14.300,1.920,2.720,20.000,120,2.800,3.140,0.330,1.970,6.200,1.070,2.650,1280
1,13.830,1.570,2.620,20.000,115,2.950,3.400,0.400,1.720,6.600,1.130,2.570,1130
1,14.190,1.590,2.480,16.500,108,3.300,3.930,0.320,1.860,8.700,1.230,2.820,1680
1,13.640,3.100,2.560,15.200,116,2.700,3.030,0.170,1.660,5.100,0.960,3.360,845
1,14.060,1.630,2.280,16.000,126,3.000,3.170,0.240,2.100,5.650,1.090,3.710,780
1,12.930,3.800,2.650,18.600,102,2.410,2.410,0.250,1.980,4.500,1.030,3.520,770
1,13.710,1.860,2.360,16.600,101,2.610,2.880,0.270,1.690,3.800,1.110,4.000,1035
1,12.850,1.600,2.520,17.800,95,2.480,2.370,0.260,1.460,3.930,1.090,3.630,1015
1,13.500,1.810,2.610,20.000,96,2.530,2.610,0.280,1.660,3.520,1.120,3.820,845
1,13.050,2.050,3.220,25.000,124,2.630,2.680,0.470,1.920,3.580,1.130,3.200,830
1,13.390,1.770,2.620,16.100,93,2.850,2.940,0.340,1.450,4.800,0.920,3.220,1195
1,13.300,1.720,2.140,17.000,94,2.400,2.190,0.270,1.350,3.950,1.020,2.770,1285
1,13.870,1.900,2.800,19.400,107,2.950,2.970,0.370,1.760,4.500,1.250,3.400,915
1,14.020,1.680,2.210,16.000,96,2.650,2.330,0.260,1.980,4.700,1.040,3.590,1035
1,13.730,1.500,2.700,22.500,101,3.000,3.250,0.290,2.380,5.700,1.190,2.710,1285
1,13.580,1.660,2.360,19.100,106,2.860,3.190,0.220,1.950,6.900,1.090,2.880,1515
1,13.680,1.830,2.360,17.200,104,2.420,2.690,0.420,1.970,3.840,1.230,2.870,990
1,13.760,1.530,2.700,19.500,132,2.950,2.740,0.500,1.350,5.400,1.250,3.000,1235
